filename,company_code,prod_code,prod_name,date,AUM,manager_name,bank
Allianz_USDMD0060.pdf,Allianz,USDMD0060,安聯人壽委託富蘭克林華美投信投資帳戶_精選收益型(月撥回),2022-04-29,27651102,張家智,臺灣企銀
Allianz_USDMD0070.pdf,Allianz,USDMD0070,ProdName NF,2022-04-30,AUM NF,MngName NF,Bank NF
Allianz_USDMD0080.pdf,Allianz,USDMD0080,安聯人壽委託元大投信投資帳戶 -全球 ETF收益組合 (月撥回 ),2022-04-29,2380000.00,王紹宇,花旗(台灣)商業銀行
Allianz_USDMD0090.pdf,Allianz,USDMD0090,安聯人壽委託富蘭克林華美投信投資帳戶_美元多元收益(月撥回),2022-04-29,36014506,謝濟帆,土地銀行
Allianz_USDMD0100.pdf,Allianz,USDMD0100,人壽委託帳戶,2022-04-30,171000000.00,陳秀宜,玉山
Allianz_USDMD0110.pdf,Allianz,USDMD0110,安聯人壽委託富蘭克林華美投信投資帳戶-美元環球股債均衡組合(月撥回資產),2022-04-29,25041391,謝濟帆,遠東銀行
Allianz_USDMD0120.pdf,Allianz,USDMD0120,安聯人壽委託安聯投信投資帳戶-環球策略收益組合(月撥回資產),2022-04-29,11000000,鄭宇廷,花旗(台灣)商業銀行
Allianz_USDMD0130.pdf,Allianz,USDMD0130,安聯人壽委託安聯投信投資帳戶,2022-04-29,7000000,林季潔,花旗(台灣)商業銀行
Allianz_USDMD0140.pdf,Allianz,USDMD0140,安聯人壽委託復華投信投資帳戶 -美元環球股債均衡組合 (雙月撥回 ),2022-04-29,27090000.00,許家瑝,遠東國際商業銀行
Allianz_USDMD0150.pdf,Allianz,USDMD0150,安聯人壽委託帳戶,2022-04-30,20680000.00,陳韋翰,玉山商業銀行
Allianz_USDMD0160.pdf,Allianz,USDMD0160,安聯人壽委託聯博投信投資帳戶-環球利寶(月撥回資產),2022-04-30,69000000.00,陳怡君,玉山商業銀行
Allianz_USDMD0170.pdf,Allianz,USDMD0170,安聯人壽委託群益投信投資帳戶-美元環球ETF股債收益組合(雙月撥回),2022-04-30,18690000.00,朱哲均,遠東國際商業銀行
Allianz_USDMD0180.pdf,Allianz,USDMD0180,安聯人壽委託復華投信投資帳戶 -環球精選 -美元 ,2022-04-29,5670000.00,許家瑝,凱基商業銀行
Allianz_USDMD0190.pdf,Allianz,USDMD0190,安聯人壽委託帳戶 ,2022-04-30,43000000.00,謝明勳,玉山
Allianz_USDMD0200.pdf,Allianz,USDMD0200,ProdName NF,2022-04-30,54290000.00,許家禎,玉山銀行
Allianz_USDMD0210.pdf,Allianz,USDMD0210,安聯人壽委託柏瑞投信投資帳戶 -金特別 (月撥回資產 ),2022-04-29,26020000.00,MngName NF,玉山商業銀行
Allianz_USDMD0220.pdf,Allianz,USDMD0220,安聯人壽委託鋒裕匯理投信投資帳戶 -樂享悠活 ,2022-04-29,21500000.0,劉佳雨,玉山銀行
Allianz_USDMD0230.pdf,Allianz,USDMD0230,安聯人壽委託帳戶,2022-04-30,36370000.00,劉蓓珊,玉山商業銀行
Allianz_USDMD0240.pdf,Allianz,USDMD0240,安聯人壽委託聯博投信投資帳戶-豐收得利(月撥回資產),2022-04-30,214000000.00,陳怡君,永豐商業銀行
Allianz_USDMD0250.pdf,Allianz,USDMD0250,安聯人壽委託安聯投信投資帳戶,Date NF,117000000,林季潔,玉山銀行
Allianz_USDMD0250P.pdf,Allianz,USDMD0250P,安聯人壽委託安聯投信投資帳戶,2022-04-29,3739800.0000,林季潔,玉山銀行
Allianz_USDMD0250X.pdf,Allianz,USDMD0250X,安聯人壽委託安聯投信投資帳戶,Date NF,117000000,林季潔,玉山銀行
Allianz_USDMD0260.pdf,Allianz,USDMD0260,安聯人壽委託帳戶 ,2022-04-30,27000000.00,謝明勳,玉山
Allianz_USDMD0270.pdf,Allianz,USDMD0270,ProdName NF,2022-04-30,12140000.00,黃銘功,玉山銀行
Allianz_USDMD0280.pdf,Allianz,USDMD0280,安聯人壽委託帳戶,2022-04-30,47640000.00,郭建良,兆豐國際商業銀行
Allianz_USDMD0290.pdf,Allianz,USDMD0290,安聯人壽委託摩根投信投資帳戶-豐收亨利(月撥回資產),2022-04-29,302900000.00,楊謹嘉,永豐銀行
Allianz_USDMD0290P.pdf,Allianz,USDMD0290P,安聯人壽委託摩根投信投資帳戶-豐收亨利PLUS (月撥回資產),2022-04-29,96120000.00,楊謹嘉,永豐銀行
Allianz_USDMD0290X.pdf,Allianz,USDMD0290X,安聯人壽委託摩根投信投資帳戶-豐收亨利(月撥回資產),2022-04-29,302900000.00,楊謹嘉,永豐銀行
Allianz_USDMD0290X_1.pdf,Allianz,USDMD0290X_1,安聯人壽委託摩根投信投資帳戶-豐收亨利(月撥回資產),2022-04-29,302900000.00,楊謹嘉,永豐銀行
Allianz_USDMD0300X.pdf,Allianz,USDMD0300X,安聯人壽委託帳戶 ,2022-04-30,116000000.00,陳秀宜,中國信託
Allianz_USDMD0300_1.pdf,Allianz,USDMD0300_1,安聯人壽委託帳戶 ,2022-04-30,116000000.00,陳秀宜,中國信託
Allianz_USDMD0320.pdf,Allianz,USDMD0320,ProdName NF,Date NF,AUM NF,MngName NF,Bank NF
Allianz_USDMD0320_1.pdf,Allianz,USDMD0320_1,ProdName NF,Date NF,AUM NF,MngName NF,Bank NF
AVIVA_FF90.pdf,AVIVA,FF90,第一金人壽享利樂活平衡型投資帳戶 (委託富達投信運用操作 ),2022-04-30,46730000.00,MngName NF,第一商業銀行
AVIVA_FJ90.pdf,AVIVA,FJ90,第一金人壽委託摩根投信投資帳戶-多重入息平衡,2022-04-29,70190000.00,鄭宇淳,第一銀行
AVIVA_FK90.pdf,AVIVA,FK90,第一金人壽委託柏瑞投信投資帳戶 -動態特別收益投資帳戶 ,2022-04-29,27080000.00,MngName NF,Bank NF
AVIVA_FN90.pdf,AVIVA,FN90,ProdName NF,2022-04-29,AUM NF,MngName NF,Bank NF
AVIVA_FR90.pdf,AVIVA,FR90,第一金人壽全權委託富蘭克林華美投信投資帳戶-全球效率帳戶,2022-04-29,48576953,石宗民,第一銀行
AVIVA_FR91.pdf,AVIVA,FR91,第一金人壽全權委託富蘭克林華美投信投資帳戶-穩健收益帳戶,2022-04-29,1102751,林育弘,第一銀行
AVIVA_FR92.pdf,AVIVA,FR92,第一金人壽全權委託富蘭克林華美投信投資帳戶-特別收益ETF組合,2022-04-29,12043979,褚國廷,第一銀行
AVIVA_FW90.pdf,AVIVA,FW90,第一金人壽委託復華投信投資帳戶 -全球股債多重收益帳戶 (現金撥回 ),2022-04-29,338000000.00,張伊涵,Bank NF
AVIVA_FZ90.pdf,AVIVA,FZ90,第一金人壽全權委託宏利投信投資帳戶-中國人民幣效率帳戶,2022-04-30,227760000.00,鄭安杰,Bank NF
AVIVA_FZ91.pdf,AVIVA,FZ91,第一金人壽全權委託宏利投信投資帳戶-全球多重資產投資帳戶,2022-04-30,1123000.000,鄭安杰,Bank NF
BNPLife_DMA001.pdf,BNPLife,DMA001,ProdName NF,2022-04-29,18810000.00,洪雅新,Bank NF
BNPLife_DMA002.pdf,BNPLife,DMA002,ProdName NF,2022-04-29,18810000.00,洪雅新,Bank NF
BNPLife_DMA003.pdf,BNPLife,DMA003,法國巴黎人壽環球穩健投資帳戶(委託聯博投信運用操作),2022-04-30,175827654,陳怡君,彰化銀行
BNPLife_DMA004.pdf,BNPLife,DMA004,法國巴黎人壽環球穩健投資帳戶(委託聯博投信運用操作),2022-04-30,175827654,陳怡君,彰化銀行
BNPLife_DMA005.pdf,BNPLife,DMA005,法國巴黎人壽環球穩健投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,2150830,李欣展,彰化銀行
BNPLife_DMA006.pdf,BNPLife,DMA006,法國巴黎人壽環球穩健投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,2150830,李欣展,彰化銀行
BNPLife_DMA007.pdf,BNPLife,DMA007,法國巴黎人壽澳幣環球穩健投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,8231532,石宗民,日盛銀行
BNPLife_DMA008.pdf,BNPLife,DMA008,法國巴黎人壽澳幣環球穩健投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,8231532,石宗民,日盛銀行
BNPLife_DMA009.pdf,BNPLife,DMA009,法國巴黎人壽多重資產投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,30832060,褚國廷,兆豐國際商銀
BNPLife_DMA010.pdf,BNPLife,DMA010,法國巴黎人壽多重資產投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,30832060,褚國廷,兆豐國際商銀
BNPLife_DMA011.pdf,BNPLife,DMA011,法國巴黎人壽環球成長投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,36912905,黃媺雯,華南銀行
BNPLife_DMA012.pdf,BNPLife,DMA012,法國巴黎人壽環球成長投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,36912905,黃媺雯,華南銀行
BNPLife_DMA013.pdf,BNPLife,DMA013,本資法國巴黎人壽環球穩健投資帳戶 (委託群益投信運用操作),2022-04-30,1800000.00,葉啟芳,臺灣中小企業銀行
BNPLife_DMA014.pdf,BNPLife,DMA014,法國巴黎人壽環球穩健投資帳戶 (委託群益投信運用操作),2022-04-30,1800000.00,葉啟芳,臺灣中小企業銀行
BNPLife_DMA015.pdf,BNPLife,DMA015,法國巴黎人壽環球穩健投資帳戶 (委託富達投信運用操作 ),2022-04-30,5060000.00,洪翠霞,元大商業銀行
BNPLife_DMA016.pdf,BNPLife,DMA016,法國巴黎人壽環球穩健投資帳戶 (委託富達投信運用操作 ),2022-04-30,5060000.00,洪翠霞,元大商業銀行
BNPLife_DMA017.pdf,BNPLife,DMA017,法國巴黎人壽 A+富達精選投資帳戶 (委託富達投信運用操作 ),2022-04-30,17600000.00,洪翠霞,兆豐國際商業銀行
BNPLife_DMA018.pdf,BNPLife,DMA018,法國巴黎人壽 A+富達精選投資帳戶 (委託富達投信運用操作 ),2022-04-30,17600000.00,洪翠霞,兆豐國際商業銀行
BNPLife_DMA019.pdf,BNPLife,DMA019,法國巴黎人壽環球穩健投資帳戶 (委託新光投信運用操作 ),2022-04-29,1120000.00,孫光政,Bank NF
BNPLife_DMA020.pdf,BNPLife,DMA020,法國巴黎人壽環球穩健投資帳戶 (委託新光投信運用操作 ),2022-04-29,1120000.00,孫光政,Bank NF
BNPLife_DMA021.pdf,BNPLife,DMA021,法國巴黎人壽新臺幣環球穩健投資帳戶 (委託復華投信運用操作 ),2022-04-29,139000000.00,陳泳如,Bank NF
BNPLife_DMA022.pdf,BNPLife,DMA022,法國巴黎人壽新臺幣環球穩健投資帳戶 (委託復華投信運用操作 ),2022-04-29,139000000.00,陳泳如,Bank NF
BNPLife_DMA023.pdf,BNPLife,DMA023,法國巴黎人壽金采收益投資帳戶 (委託富達投信運用操作 ),2022-04-30,15710000.00,洪翠霞,第一商業銀行
BNPLife_DMA024.pdf,BNPLife,DMA024,法國巴黎人壽金采收益投資帳戶 (委託富達投信運用操作 ),2022-04-30,15710000.00,洪翠霞,第一商業銀行
BNPLife_DMA025.pdf,BNPLife,DMA025,法國巴黎人壽榮耀 100投資帳戶 (委託復華投信運用操作 ),2022-04-29,713000000.00,簡沄宜,Bank NF
