filename,company_code,prod_code,prod_name,date,AUM,manager_name,bank
ACE_FFTFH003.pdf,ACE,FFTFH003,安達人壽全權委託復華投信代操全球贏新投資組合 -累積投資帳戶 ,2022-05-31,61000000.00,簡沄宜,Bank NF
ACE_FFTFH004.pdf,ACE,FFTFH004,安達人壽全權委託復華投信代操全球贏新投資組合 -月撥回 (現金 ),2022-05-31,308000000.00,簡沄宜,Bank NF
ACE_FFTKG001.pdf,ACE,FFTKG001,須依安達人壽全權委託管理帳戶相關規定辦理,2022-05-31,AUM NF,許書銘,Bank NF
ACE_FFUBR007.pdf,ACE,FFUBR007,資委託人安達人壽,2022-05-31,930000.00,紀晶心,臺灣中小企業銀行股份有限公司
ACE_FFUBR008.pdf,ACE,FFUBR008,資委託人安達人壽,2022-05-31,2440000.00,紀晶心,臺灣中小企業銀行股份有限公司
ACE_FFUBR011.pdf,ACE,FFUBR011,資委託人安達人壽,2022-05-31,53710000.00,黃家珍,台新國際商業銀行
ACE_FFUBR012.pdf,ACE,FFUBR012,資委託人安達人壽,2022-05-31,53710000.00,黃家珍,台新國際商業銀行
ACE_FFUCB005.pdf,ACE,FFUCB005,安達人壽全權委託中國信託投信代操,2022-05-31,131470000.00,MngName NF,Bank NF
ACE_FFUCB006.pdf,ACE,FFUCB006,ProdName NF,2022-05-31,835450000.00,許健忠,Bank NF
ACE_FFUCB015.pdf,ACE,FFUCB015,安達人壽全權委託中國信託投信代操,2022-05-31,46490000.00,MngName NF,Bank NF
ACE_FFUCB016.pdf,ACE,FFUCB016,安達人壽全權委託中國信託投信代操,2022-05-31,103820000.00,MngName NF,Bank NF
ACE_FFUFH001.pdf,ACE,FFUFH001,安達人壽全權委託復華投信代操戰略贏家投資組合 -累積投資帳戶 ,2022-05-31,15670000.00,蔡其佐,Bank NF
ACE_FFUFH002.pdf,ACE,FFUFH002,安達人壽全權委託復華投信代操戰略贏家投資組合 -月撥回 (現金 ),2022-05-31,65440000.00,蔡其佐,Bank NF
ACE_FFUFT001.pdf,ACE,FFUFT001,安達人壽全權委託富蘭克林華美投信投資帳戶-犇騰積極組合,2022-05-31,9321919,褚國廷,花旗台北
ACE_FFUFT002.pdf,ACE,FFUFT002,安達人壽全權委託富蘭克林華美投信投資帳戶-鑫富穩健組合,2022-05-31,1447587,褚國廷,花旗台北
ACE_FFUFT003.pdf,ACE,FFUFT003,安達人壽全權委託富蘭克林華美投信投資帳戶-鑫富穩健組合,2022-05-31,1447587,褚國廷,花旗台北
ACE_FFUFT004.pdf,ACE,FFUFT004,ProdName NF,2022-05-31,177709,MngName NF,Bank NF
ACE_FFUFT005.pdf,ACE,FFUFT005,ProdName NF,2022-05-31,85796,MngName NF,Bank NF
ACE_FFUFT006.pdf,ACE,FFUFT006,ProdName NF,2022-05-31,246779,MngName NF,Bank NF
ACE_FFUFT007.pdf,ACE,FFUFT007,ProdName NF,2022-05-31,421104,MngName NF,Bank NF
ACE_FFUFT008.pdf,ACE,FFUFT008,ProdName NF,2022-05-31,454862,MngName NF,Bank NF
ACE_FFUFT009.pdf,ACE,FFUFT009,ProdName NF,2022-05-31,346203,MngName NF,Bank NF
ACE_FFUFT010.pdf,ACE,FFUFT010,ProdName NF,2022-05-31,445007,MngName NF,Bank NF
ACE_FFUFT011.pdf,ACE,FFUFT011,ProdName NF,2022-05-31,775624,MngName NF,Bank NF
ACE_FFUFT012.pdf,ACE,FFUFT012,ProdName NF,2022-05-31,49080,MngName NF,Bank NF
ACE_FFUFT013.pdf,ACE,FFUFT013,安達人壽全權委託富蘭克林華美投信點時成金投資帳戶,2022-05-31,264105,褚國廷,花旗台北
ACE_FFUMG001.pdf,ACE,FFUMG001,ProdName NF,2022-05-31,15176000.0,MngName NF,Bank NF
ACE_FFUMG002.pdf,ACE,FFUMG002,ProdName NF,2022-05-31,15176000.0,MngName NF,Bank NF
ACE_FFUPC018.pdf,ACE,FFUPC018,安達人壽全權委託,2022-05-31,39410000.00,郭建良,台新國際商業銀行
ACE_FFUPM013.pdf,ACE,FFUPM013,安達人壽全權委託統一投顧代操致富未來投資帳戶,2022-05-31,30245753.40,梁峻源,Bank NF
ACE_FFUPM014.pdf,ACE,FFUPM014,安達人壽全權委託統一投顧代操致富未來投資帳戶 -月撥回 (現金),2022-05-31,13220772.05,梁峻源,Bank NF
ACE_FFUPM017.pdf,ACE,FFUPM017,安達人壽全權委託統一投顧代操創新七雄投資帳戶,2022-05-31,3583810.66,梁峻源,Bank NF
ACE_FFUTC001.pdf,ACE,FFUTC001,ProdName NF,2022-05-31,3550000.00,何鴻聖,Bank NF
ACE_FFUTC002.pdf,ACE,FFUTC002,ProdName NF,2022-05-31,3550000.00,何鴻聖,Bank NF
ACE_FFUTN003.pdf,ACE,FFUTN003,安達人壽享利88投資帳戶 (委託華南永昌投信運用操作),2022-05-31,5064845.41,余政民,陽信銀行
ACE_FFUTN004.pdf,ACE,FFUTN004,安達人壽享利88投資帳戶 (委託華南永昌投信運用操作),2022-05-31,5064845.41,余政民,陽信銀行
